season,posteam,field_zone,pass_rate,plays
2025,MIA,2. Own Mid (50-74),0.6175298804780877,251
2025,MIA,3. Opp Mid (25-49),0.5159235668789809,157
2025,MIA,4. Red Zone (10-24),0.4842105263157895,95
2025,MIA,5. Goal-to-Go (<10),0.46938775510204084,49
2025,MIN,1. Own End (75-100),0.4603174603174603,126
2025,MIN,2. Own Mid (50-74),0.5980392156862745,306
2025,MIN,3. Opp Mid (25-49),0.6490066225165563,151
2025,MIN,4. Red Zone (10-24),0.5882352941176471,85
2025,MIN,5. Goal-to-Go (<10),0.5277777777777778,36
2025,NE,1. Own End (75-100),0.6441717791411042,163
2025,NE,2. Own Mid (50-74),0.5478468899521531,418
2025,NE,3. Opp Mid (25-49),0.5872340425531914,235
2025,NE,4. Red Zone (10-24),0.5,102
2025,NE,5. Goal-to-Go (<10),0.4246575342465753,73
2025,NO,1. Own End (75-100),0.6538461538461539,130
2025,NO,2. Own Mid (50-74),0.5597269624573379,293
2025,NO,3. Opp Mid (25-49),0.5766129032258065,248
2025,NO,4. Red Zone (10-24),0.6082474226804123,97
2025,NO,5. Goal-to-Go (<10),0.3170731707317073,41
2025,NYG,1. Own End (75-100),0.55,120
2025,NYG,2. Own Mid (50-74),0.5635838150289018,346
2025,NYG,3. Opp Mid (25-49),0.5381165919282511,223
2025,NYG,4. Red Zone (10-24),0.48148148148148145,108
2025,NYG,5. Goal-to-Go (<10),0.3469387755102041,49
2025,NYJ,1. Own End (75-100),0.4878048780487805,82
2025,NYJ,2. Own Mid (50-74),0.5245901639344263,305
2025,NYJ,3. Opp Mid (25-49),0.4911242603550296,169
2025,NYJ,4. Red Zone (10-24),0.3670886075949367,79
2025,NYJ,5. Goal-to-Go (<10),0.4583333333333333,24
2025,PHI,1. Own End (75-100),0.5804195804195804,143
2025,PHI,2. Own Mid (50-74),0.5913312693498453,323
2025,PHI,3. Opp Mid (25-49),0.5807860262008734,229
2025,PHI,4. Red Zone (10-24),0.5045871559633027,109
2025,PHI,5. Goal-to-Go (<10),0.36666666666666664,60
2025,PIT,1. Own End (75-100),0.556390977443609,133
2025,PIT,2. Own Mid (50-74),0.6371428571428571,350
2025,PIT,3. Opp Mid (25-49),0.5991189427312775,227
2025,PIT,4. Red Zone (10-24),0.6176470588235294,102
2025,PIT,5. Goal-to-Go (<10),0.45714285714285713,70
2025,SEA,1. Own End (75-100),0.5873015873015873,126
2025,SEA,2. Own Mid (50-74),0.6136363636363636,308
2025,SEA,3. Opp Mid (25-49),0.5101214574898786,247
2025,SEA,4. Red Zone (10-24),0.5242718446601942,103
2025,SEA,5. Goal-to-Go (<10),0.3877551020408163,49
2025,SF,1. Own End (75-100),0.5779816513761468,109
2025,SF,2. Own Mid (50-74),0.6704545454545454,352
2025,SF,3. Opp Mid (25-49),0.52,300
2025,SF,4. Red Zone (10-24),0.5078125,128
2025,SF,5. Goal-to-Go (<10),0.5072463768115942,69
2025,TB,1. Own End (75-100),0.5813953488372093,129
2025,TB,2. Own Mid (50-74),0.5649717514124294,354
2025,TB,3. Opp Mid (25-49),0.5191489361702127,235
2025,TB,4. Red Zone (10-24),0.5612244897959183,98
2025,TB,5. Goal-to-Go (<10),0.42857142857142855,49
