season,posteam,down,dist_bucket,pass_rate,epa,success,plays
2023,CLE,2,Medium (6-9),0.6813186813186813,-0.38333860686839466,0.4065934065934066,91
2023,CLE,2,Short (1-2),0.3548387096774194,0.0011115850122164815,0.5161290322580645,31
2023,CLE,3,Long (10+),0.9672131147540983,-0.20426084588844753,0.21311475409836064,61
2023,CLE,3,Med-Short (3-5),0.7333333333333333,-0.4602188455259889,0.4,45
2023,CLE,3,Medium (6-9),0.875,-0.36513119228919644,0.2708333333333333,48
2023,CLE,3,Short (1-2),0.29411764705882354,0.1843653259001097,0.6176470588235294,34
2023,CLE,4,Long (10+),1.0,-0.2794255707995035,0.0,1
2023,CLE,4,Med-Short (3-5),1.0,0.8632519837847212,0.5,4
2023,CLE,4,Medium (6-9),1.0,-2.1629349234863184,0.0,1
2023,CLE,4,Short (1-2),0.18181818181818182,0.7736548599099148,0.7272727272727273,11
2023,DAL,1,Long (10+),0.5344262295081967,0.03525796788190642,0.4360655737704918,305
2023,DAL,1,Med-Short (3-5),0.5,-0.3406222459913503,0.5,12
2023,DAL,1,Medium (6-9),0.5555555555555556,0.17784953933571362,0.4444444444444444,9
2023,DAL,1,Short (1-2),0.4,-1.55447702233796,0.4,5
2023,DAL,2,Long (10+),0.7283950617283951,0.1078432710757939,0.49382716049382713,81
2023,DAL,2,Med-Short (3-5),0.6545454545454545,0.06425572127601216,0.4909090909090909,55
2023,DAL,2,Medium (6-9),0.7073170731707317,0.22584208116189453,0.47560975609756095,82
2023,DAL,2,Short (1-2),0.19230769230769232,-0.005396830375852564,0.6538461538461539,26
2023,DAL,3,Long (10+),0.8205128205128205,0.7706308251448366,0.4358974358974359,39
2023,DAL,3,Med-Short (3-5),0.8292682926829268,0.10024393223727113,0.5121951219512195,41
2023,DAL,3,Medium (6-9),0.8857142857142857,0.5702131818232359,0.5428571428571428,35
2023,DAL,3,Short (1-2),0.47058823529411764,0.22995857514324794,0.7058823529411765,34
2023,DAL,4,Med-Short (3-5),1.0,-3.2845252902479842,0.0,1
2023,DAL,4,Medium (6-9),1.0,-2.408854862092994,0.0,1
2023,DAL,4,Short (1-2),0.5384615384615384,0.9664136587257067,0.6923076923076923,13
2023,DEN,1,Long (10+),0.5080906148867314,0.0072227671956338994,0.4174757281553398,309
2023,DEN,1,Med-Short (3-5),0.5454545454545454,0.06417527259062891,0.5454545454545454,11
2023,DEN,1,Medium (6-9),0.375,-0.2627452348533552,0.125,8
2023,DEN,1,Short (1-2),0.0,0.5482945604599081,1.0,1
2023,DEN,2,Long (10+),0.5897435897435898,-0.3718785165110603,0.358974358974359,78
2023,DEN,2,Med-Short (3-5),0.45454545454545453,0.11913513817178847,0.4909090909090909,55
2023,DEN,2,Medium (6-9),0.6526315789473685,0.016796756173655586,0.4105263157894737,95
2023,DEN,2,Short (1-2),0.28,0.032102418071590366,0.52,25
2023,DEN,3,Long (10+),0.8043478260869565,-0.47510166759190336,0.1956521739130435,46
2023,DEN,3,Med-Short (3-5),0.7692307692307693,-0.08828066186391846,0.38461538461538464,39
2023,DEN,3,Medium (6-9),0.9069767441860465,-0.12668158413286343,0.37209302325581395,43
2023,DEN,3,Short (1-2),0.2894736842105263,-0.2364522386679989,0.631578947368421,38
